STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
11260480,MARIPOSA C NR CATHEYS VALLEY CA,Non-ref,WestXeric,170.5797,18,37.398829,-120.003783,CA,,,22,22,0
11261500,SAN JOAQUIN R A FREMONT FORD BRIDGE CA,Non-ref,WestXeric,21971.82,18,37.309939,-120.931037,CA,,yes,45,33,8
11270900,MERCED R BL MERCED FALLS DAM NR SNELL CA,Non-ref,WestMnts,2749.327,18,37.521603,-120.332411,CA,,yes,105,60,20
11272500,MERCED R NR STEVINSON CA,Non-ref,WestMnts,3311.821,18,37.37077,-120.930483,CA,,yes,63,54,14
11274000,SAN JOAQUIN R NR NEWMAN CA,Non-ref,WestXeric,29064.76,18,37.350493,-120.97715,CA,,yes,97,60,20
11274538,ORESTIMBA CR AT RIVER RD NR CROWS LANDING CA,Non-ref,WestXeric,469.431,18,37.41355,-121.01604,CA,,yes,17,17,17
11274550,SAN JOAQUIN R NR CROWS LANDING CA,Non-ref,WestXeric,30039.68,18,37.43188,-121.01382,CA,,yes,14,14,14
11290000,TUOLUMNE R A MODESTO CA,Non-ref,WestMnts,4759.874,18,37.626875,-120.987989,CA,,yes,69,60,20
11303000,STANISLAUS R A RIPON CA,Non-ref,WestMnts,2864.942,18,37.729651,-121.110493,CA,,yes,69,60,20
11308900,CALAVERAS R BL NEW HOGAN DAM NR VALLEY SPRINGS CA,Non-ref,WestXeric,964.5534,18,38.147976,-120.824936,CA,,,29,29,1
11309000,COSGROVE C NR VALLEY SPRINGS CA,Non-ref,WestXeric,54.5022,18,38.153253,-120.836881,CA,,,40,20,0
11312000,BEAR C NR LOCKEFORD CA,Non-ref,WestXeric,122.0193,18,38.152697,-121.138833,CA,,,55,36,0
11323500,MOKELUMNE R BL CAMANCHE DAM CA,Non-ref,WestMnts,1626.486,18,38.220473,-121.039665,CA,,yes,105,60,20
11325500,MOKELUMNE R A WOODBRIDGE CA,Non-ref,WestMnts,1709.437,18,38.158529,-121.303559,CA,,yes,81,58,18
11337600,MARSH C A BRENTWOOD CA,Non-ref,WestXeric,178.4736,18,37.9627,-121.68745,CA,,yes,9,9,9
11242400,NF WILLOW C NR SUGAR PINE CA,Non-ref,WestMnts,43.0857,18,37.39772,-119.566256,CA,,yes,43,43,19
11244000,NF WILLOW C NR BASS LAKE CA,Non-ref,WestMnts,132.093,18,37.288834,-119.530139,CA,,yes,69,60,20
11268000,SF MERCED R NR EL PORTAL CA,Non-ref,WestMnts,622.9395,18,37.65132,-119.885453,CA,,,24,24,0
11268001,RESULTANT OF COMBINING 11-2665 + 11-2680 CA,Non-ref,WestMnts,622.9395,18,37.65132,-119.885453,CA,,,24,24,0
11269700,EXCHEQUER PH A EXCHEQUER CA,Non-ref,WestMnts,2685.851,18,37.583546,-120.275744,CA,,yes,32,32,17
11271320,DRY C NR SNELLING CA,Non-ref,WestXeric,175.112,18,37.554935,-120.46325,CA,,,26,26,3
11288000,TUOLUMNE R AB LA GRANGE DAM NR LA GRANGE CA,Non-ref,WestMnts,3966.472,18,37.709098,-120.41325,CA,,,59,21,0
11289650,TUOLUMNE R BL LAGRANGE DAM NR LAGRANGE CA,Non-ref,WestMnts,3983.72,18,37.666321,-120.442139,CA,,yes,39,39,20
11276500,TUOLUMNE R NR HETCH HETCHY CA,Non-ref,WestMnts,1179.1,18,37.937421,-119.798233,CA,,yes,99,60,20
11276600,TUOLUMNE R AB EARLY INTAKE NR MATHER CA,Non-ref,WestMnts,1248.672,18,37.879368,-119.947126,CA,,yes,38,38,19
11276900,TUOLUMNE R BL EARLY INTAKE NR MATHER CA,Non-ref,WestMnts,1255.07,18,37.881591,-119.970182,CA,,yes,43,43,20
11277300,CHERRY C BL VALLEY DAM NR HETCH HETCHY CA,Non-ref,WestMnts,305.1612,18,37.967699,-119.917403,CA,,yes,52,52,20
11278000,ELEANOR C NR HETCH HETCHY CA,Non-ref,WestMnts,207.7146,18,37.969088,-119.882124,CA,,yes,100,60,20
11278300,CHERRY C NR EARLY INTAKE CA,Non-ref,WestMnts,591.6546,18,37.894368,-119.962682,CA,,yes,52,52,19
11278400,"CHERRY C BL DION R HOLM PH, NR MATHER CA",Non-ref,WestMnts,610.4933,18,37.890202,-119.969905,CA,,yes,46,46,20
11284700,NF TUOLUMNE R NR LONG BARN CA,Non-ref,WestMnts,58.8042,18,38.098809,-120.099631,CA,,,24,24,0
11292000,MF STANISLAUS R AT KENNEDY MDWS NR DARDANELLE CA,Non-ref,WestMnts,123.3387,18,38.297412,-119.741287,CA,,yes,70,60,20
11292700,MF STANISLAUS R A HELLS HALF ACRE BRIDGE CA,Non-ref,WestMnts,737.3871,18,38.24686,-120.031852,CA,,yes,53,53,20
11292900,MF STANISLAUS R BL BEARDSLEY DAM CA,Non-ref,WestMnts,813.4533,18,38.193251,-120.099076,CA,,yes,52,52,20
11293372,NF STANISLAUS R BL UTICA RES NR BEAR VALLEY CA,Non-ref,WestMnts,42.3774,18,38.44111,-120.00278,CA,,yes,1,1,1
11293462,SILVER C BL LK ALPINE NR BEAR VALLEY CA,Non-ref,WestMnts,13.41,18,38.47083,-120.005,CA,,yes,2,2,2
11293500,NF STANISLAUS R BL SILVER C CA,Non-ref,WestMnts,73.4742,18,38.439356,-120.015741,CA,,,35,35,0
11293600,NF STANISLAUS R BL DIV DAM NR BIG MDW CA,Non-ref,WestMnts,74.1042,18,38.434356,-120.018797,CA,,yes,22,22,20
11294000,HIGHLAND C BL SPICER MEADOWS RES CA,Non-ref,WestMnts,119.0079,18,38.392968,-119.999074,CA,,yes,57,57,20
11294500,NF STANISLAUS R NR AVERY CA,Non-ref,WestMnts,427.7592,18,38.245751,-120.289917,CA,,yes,92,60,20
11295230,BEAVER CR BEL DIV DAM NR ARNOLD CA,Non-ref,WestMnts,76.374,18,38.23297,-120.28047,CA,,yes,19,19,19
11295270,NF STANISLAUS R BL MCKAYS POINT DAM NR AVERY CA,Non-ref,WestMnts,430.3035,18,38.2327,-120.29353,CA,,yes,20,20,20
11295300,NF STANISLAUS R BL BEAVER C NR HATHAWAY PINES CA,Non-ref,WestMnts,520.1757,18,38.20714,-120.31714,CA,,yes,19,19,19
11295340,MILL C BL HUNTER RES A HATHAWAY PINES CA,Non-ref,WestMnts,33.3513,18,38.19806,-120.36,CA,,yes,0,0,0
